name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,28,43100827,,parking,,,"POLYGON ((-122.4159864 37.7714644, -122.4153339 37.7711819, -122.4150079 37.7716626, -122.4151648 37.7717711, -122.4156336 37.7719802, -122.4159864 37.7714644))",POINT (-122.4154897 37.7715788),4192.5,45127.3
Duboce Apartments,29,97167357,,yes,,,"POLYGON ((-122.4309687 37.7667637, -122.4309164 37.7661849, -122.4304632 37.7665513, -122.4306432 37.7666918, -122.4308125 37.7665605, -122.4308245 37.7665718, -122.4308288 37.7666072, -122.4308172 37.7666079, -122.4308189 37.76662, -122.430773 37.766623, -122.4307888 37.7667731, -122.4309687 37.7667637))",POINT (-122.4307775 37.7665145),1467.2,15792.7
Castro Theatre,30,99776277,,cinema,,,"POLYGON ((-122.4344768 37.762141, -122.4347894 37.7621221, -122.4347913 37.7621419, -122.4348981 37.7621355, -122.4350051 37.7621291, -122.4349981 37.7620564, -122.4350418 37.7620318, -122.4344768 37.762141))",POINT (-122.434842 37.7621014),222.2,2392.0
1455 Market St.,31,103538672,,office,,,"POLYGON ((-122.4165776 37.7749184, -122.4171249 37.7744889, -122.4184675 37.775558, -122.4179201 37.7759875, -122.4177752 37.7758721, -122.4170724 37.7753124, -122.4165776 37.7749184))",POINT (-122.4175225 37.7752382),11360.1,122278.8
,32,104597417,,parking,,,"POLYGON ((-122.4157154 37.7680201, -122.415767 37.7684549, -122.4166077 37.7683974, -122.4165674 37.7679603, -122.4157154 37.7680201))",POINT (-122.4161646 37.7682077),3631.0,39083.9
CPMC Davies Campus,33,112073351,,hospital,,,"POLYGON ((-122.4337126 37.7690835, -122.4335637 37.7675497, -122.4349151 37.7674677, -122.4355298 37.7674304, -122.4356788 37.7689642, -122.4337126 37.7690835))",POINT (-122.4346212 37.768257),29645.6,319101.8
Harvey Milk Recreational Arts Center,34,112073353,,community_centre,,,"POLYGON ((-122.4347933 37.769561, -122.4347873 37.7695311, -122.4346493 37.7695493, -122.4346375 37.769495, -122.4346063 37.7693462, -122.4344703 37.7693641, -122.4344893 37.7694576, -122.4344603 37.7694615, -122.4344715 37.7695156, -122.4344754 37.7695362, -122.4344783 37.7695486, -122.4344833 37.7695727, -122.4343503 37.7695901, -122.4343823 37.7697436, -122.4347793 37.7696914, -122.4347533 37.7695663, -122.4347933 37.769561))",POINT (-122.4345634 37.7695803),938.8,10104.7
,35,112593518,,parking,,,"POLYGON ((-122.4188653 37.7697882, -122.4190557 37.7695486, -122.4191281 37.7694214, -122.4191609 37.7692766, -122.4191893 37.7691612, -122.4198582 37.7691315, -122.4198568 37.7692204, -122.4197863 37.7692156, -122.4197828 37.7692458, -122.4192834 37.7692133, -122.4192077 37.7698521, -122.4188653 37.7697882))",POINT (-122.4192607 37.7694634),1702.6,18326.7
,36,112595008,,parking,,,"POLYGON ((-122.4160388 37.7702436, -122.4159793 37.7704073, -122.4158667 37.770613, -122.4154375 37.7704349, -122.4155824 37.7701317, -122.4160388 37.7702436))",POINT (-122.4157423 37.7703595),1713.1,18439.3
BMW of San Francisco,37,112595010,,commercial,,,"POLYGON ((-122.4170924 37.7702589, -122.4174733 37.770331, -122.4175538 37.7700384, -122.4171541 37.7699918, -122.4171417 37.7700453, -122.4170926 37.7700382, -122.4170679 37.7701448, -122.4171171 37.7701519, -122.4170924 37.7702589))",POINT (-122.4173119 37.7701521),1159.2,12477.9
