name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Cafe Flore,29,115433813,,cafe,,,"POLYGON ((-122.4328523 37.7646655, -122.4330007 37.7647797, -122.4330372 37.7647574, -122.4330348 37.7647334, -122.4329964 37.7647044, -122.4330129 37.7646923, -122.4329716 37.7646619, -122.4329968 37.7646426, -122.4329353 37.7645997, -122.4328523 37.7646655))",POINT (-122.4329513 37.7646876),148.3,1596.7
Perramont Hotel,30,115433820,,apartments,,,"POLYGON ((-122.4302076 37.7667504, -122.4302675 37.766703, -122.4303464 37.7667655, -122.4303406 37.7667701, -122.4304804 37.7668808, -122.4304941 37.76687, -122.4305602 37.7669223, -122.4305363 37.7669411, -122.4305739 37.7669708, -122.4305297 37.7670057, -122.4302076 37.7667504))",POINT (-122.4303963 37.7668539),286.0,3078.5
Beck's Motor Lodge,31,115433821,,yes,,,"POLYGON ((-122.4319339 37.7653863, -122.4322193 37.7656119, -122.4322024 37.7656243, -122.4322089 37.7656724, -122.4322163 37.765752, -122.4321817 37.7657531, -122.432049 37.765856, -122.4320287 37.7658588, -122.431969 37.7658101, -122.4319107 37.7658571, -122.4318384 37.7658023, -122.4316281 37.7656315, -122.4316904 37.7655783, -122.4317092 37.7655861, -122.4317047 37.7655896, -122.4319092 37.7657522, -122.4320861 37.7656113, -122.4319366 37.7654922, -122.4318481 37.7655585, -122.4318013 37.765521, -122.4318638 37.7654472, -122.431863 37.7654423, -122.4319339 37.7653863))",POINT (-122.4319762 37.7656561),1064.3,11456.0
San Francisco Fire Station 6,32,115433822,,fire_station,,,"POLYGON ((-122.430997 37.7669746, -122.4310027 37.7670377, -122.4310089 37.7670374, -122.431022 37.7671815, -122.4307334 37.7671975, -122.4307238 37.7670836, -122.4306979 37.767085, -122.4306927 37.7670356, -122.430719 37.7670341, -122.4307158 37.7669992, -122.4309544 37.7669856, -122.4309536 37.766977, -122.430997 37.7669746))",POINT (-122.4308653 37.7670893),574.5,6184.2
Twin Peaks Hotel,33,115433826,,apartments,,,"POLYGON ((-122.4302076 37.7667504, -122.4305297 37.7670057, -122.4305508 37.7670208, -122.4305577 37.7671109, -122.4305419 37.7671186, -122.4303516 37.7669652, -122.4301436 37.7668042, -122.4302076 37.7667504))",POINT (-122.4303641 37.766927),377.7,4065.9
,34,115433827,,parking,,,"POLYGON ((-122.4312142 37.7660804, -122.4314003 37.766074, -122.4314376 37.7664077, -122.4312383 37.7664205, -122.4312142 37.7660804))",POINT (-122.4313225 37.7662477),637.8,6865.1
,35,115433828,,parking,,,"POLYGON ((-122.432108 37.7652637, -122.4323774 37.765472, -122.4323423 37.7655102, -122.4324035 37.765554, -122.4324213 37.7658308, -122.432313 37.7658354, -122.4322953 37.7655673, -122.4322134 37.7655921, -122.4319514 37.7653898, -122.432108 37.7652637))",POINT (-122.4322291 37.7655142),984.5,10597.3
,36,115944814,,yes,,,"POLYGON ((-122.4291367 37.7678145, -122.4292255 37.7678089, -122.4292294 37.7678497, -122.4292365 37.7679368, -122.4292258 37.7679374, -122.4292289 37.7679757, -122.4292429 37.767975, -122.4292432 37.7679788, -122.4292496 37.7680855, -122.4291647 37.768089, -122.4291367 37.7678145))",POINT (-122.4291938 37.7679486),232.8,2505.3
Golden Produce,37,115944817,,yes,,,"POLYGON ((-122.429159 37.7681604, -122.4291711 37.7681578, -122.4294601 37.768142, -122.4296035 37.7681357, -122.4296095 37.7682011, -122.4291652 37.7682257, -122.429159 37.7681604))",POINT (-122.4293835 37.76818),292.2,3144.7
U.S. Mint of San Francisco,38,115944818,,yes,,,"POLYGON ((-122.4278067 37.7703321, -122.4270918 37.7704215, -122.4269914 37.7699198, -122.4277063 37.7698304, -122.4278067 37.7703321))",POINT (-122.4273991 37.7701259),3593.9,38684.7
,39,115944822,,parking,,,"POLYGON ((-122.4300763 37.7685226, -122.4300578 37.7683322, -122.4295844 37.7683625, -122.4295934 37.7684628, -122.4296652 37.7685384, -122.4300763 37.7685226))",POINT (-122.4298386 37.7684372),833.7,8973.8
,40,115944826,,mixed_use,,,"POLYGON ((-122.4291647 37.768089, -122.4292496 37.7680855, -122.429335 37.7680796, -122.429425 37.7680743, -122.4294542 37.7680737, -122.4294601 37.768142, -122.4291711 37.7681578, -122.4291647 37.768089))",POINT (-122.4293129 37.7681156),195.3,2102.1
McKinley Elementary School,41,116553824,,school,,,"POLYGON ((-122.4357861 37.7672259, -122.4357292 37.766605, -122.4368168 37.7665426, -122.4368737 37.7671636, -122.4357861 37.7672259))",POINT (-122.4363015 37.7668843),6632.0,71386.4
Local 6 International Brotherhood of Electrical Workers,42,121024969,,social_centre,,,"POLYGON ((-122.4302775 37.7699937, -122.430268 37.7699502, -122.430158 37.7699651, -122.430141 37.7698721, -122.430504 37.7698267, -122.430513 37.7698707, -122.430537 37.7698686, -122.430545 37.7699161, -122.430325 37.7699438, -122.430339 37.7700172, -122.43056 37.7699894, -122.430581 37.7700945, -122.430261 37.7701346, -122.430246 37.7700295, -122.430283 37.7700249, -122.4302775 37.7699937))",POINT (-122.4303701 37.7699775),720.4,7754.0
